,Commodity and Year,Historical data,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnualAvg
81,Plastics pipe fittings and unions,,,,,,,,,,,,,,
82,2021,,186.1,191.5,198.4,206.0,215.4,227.7,242.790,251.839,259.135,266.987,268.470,275.586,232.497
83,2022,,290.515,293.295,294.973,299.889,307.895,321.103,(p)321.675,(p)322.630,(p)321.764,(p)321.916,,,
84,Plastics plumbing fixtures,,,,,,,,,,,,,,
85,2021,,131.8,132.4,133.6,134.2,135.1,140.4,143.541,147.137,150.138,152.244,157.388,157.959,142.978
86,2022,,157.369,157.369,157.717,160.159,160.931,161.212,(p)162.547,(p)163.076,(p)163.303,(p)163.303,,,
87,Other plastic construction products,,,,,,,,,,,,,,
88,2021,,225.2,228.1,229.4,236.9,240.3,245.8,252.432,255.234,257.673,263.496,269.156,271.278,247.917
89,2022,,275.674,281.882,284.853,291.359,293.443,297.990,(p)299.869,(p)302.181,(p)301.665,(p)300.887,,,
90,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary,Footnotes  (p) Preliminary
